yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	isomap:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
NP_001075177.1		A1IIE5	A1IIE5_CHICK	unreviewed	Transcription initiation factor IIA subunit 2	GTF2A2	Gallus gallus (Chicken)	109	cell junction [GO:0030054]; transcription factor TFIIA complex [GO:0005672]; transcription factor TFIID complex [GO:0005669]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; RNA polymerase II repressing transcription factor binding [GO:0001103]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]	GO:0001103; GO:0003713; GO:0005669; GO:0005672; GO:0016251; GO:0017025; GO:0030054; GO:0042803; GO:0045944; GO:0046982; GO:0051091; GO:0051123	K03123;
XP_014033977.1		A0A1S3Q207	A0A1S3Q207_SALSA	unreviewed	Epsilon-sarcoglycan	sgce	Salmo salar (Atlantic salmon)	430	integral component of membrane [GO:0016021]; sarcoglycan complex [GO:0016012]	GO:0016012; GO:0016021	
XP_006631491.2		W5MBF7	W5MBF7_LEPOC	unreviewed	Uncharacterized protein	SLC30A2	Lepisosteus oculatus (Spotted gar)	384	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; zinc ion transmembrane transporter activity [GO:0005385]; regulation of sequestering of zinc ion [GO:0061088]; response to zinc ion [GO:0010043]; zinc ion transmembrane transport [GO:0071577]	GO:0005385; GO:0005886; GO:0010043; GO:0016021; GO:0061088; GO:0071577	
XP_005989018.1		H3BE52	H3BE52_LATCH	unreviewed	Fe2OG dioxygenase domain-containing protein	OGFOD2	Latimeria chalumnae (Coelacanth)	355	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418	
XP_003106206.1		E3MCE6	E3MCE6_CAERE	unreviewed	Metalloendopeptidase (EC 3.4.24.-)	Cre-nas-13 CRE_15446	Caenorhabditis remanei (Caenorhabditis vulgaris)	462	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004222; GO:0008270	
XP_012554379.1		T2MAM8	T2MAM8_HYDVU	unreviewed	Sodium/hydrogen exchanger (Fragment)	SLC9A9	Hydra vulgaris (Hydra) (Hydra attenuata)	626	integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885]	GO:0006885; GO:0015385; GO:0016021	K12041;
XP_013419712.1		A0A1S3KB46	A0A1S3KB46_LINUN	unreviewed	uncharacterized protein LOC106180300	LOC106180300	Lingula unguis	400	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
XP_013405388.1		A0A1S3J536	A0A1S3J536_LINUN	unreviewed	uncharacterized protein LOC106170172	LOC106170172	Lingula unguis	1255	integral component of membrane [GO:0016021]	GO:0016021	
XP_014845374.1		A0A3B3X807	A0A3B3X807_9TELE	unreviewed	Ribosomal protein S6 kinase (EC 2.7.11.1)		Poecilia mexicana	509	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; signal transduction [GO:0007165]	GO:0004674; GO:0005524; GO:0007165	
XP_005162800.1		Q7T170	Q7T170_DANRE	unreviewed	Arylamine N-acetyltransferase (EC 2.3.1.5)	si:rp71-1f1.6	Danio rerio (Zebrafish) (Brachydanio rerio)	277	arylamine N-acetyltransferase activity [GO:0004060]	GO:0004060	
XP_002428050.1		E0VPK6	E0VPK6_PEDHC	unreviewed	Reverse transcriptase, putative	8233407 Phum_PHUM361230	Pediculus humanus subsp. corporis (Body louse)	1168	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
XP_012400760.1		G3X125	G3X125_SARHA	unreviewed	Rep_fac-A_C domain-containing protein	DDIAS	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	1015	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]	GO:1902230	
XP_016049403.1		A0A1S3WSQ5	A0A1S3WSQ5_ERIEU	unreviewed	phospholipase A-2-activating protein isoform X2	PLAA	Erinaceus europaeus (Western European hedgehog)	772	ubiquitin binding [GO:0043130]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0043130; GO:0043161	
XP_005085548.1		A0A1U7QT86	A0A1U7QT86_MESAU	unreviewed	Dolichyl pyrophosphate phosphatase 1 (EC 3.6.1.43) (Dolichyldiphosphatase 1)	Dolpp1	Mesocricetus auratus (Golden hamster)	238	integral component of endoplasmic reticulum membrane [GO:0030176]; dolichyldiphosphatase activity [GO:0047874]; protein N-linked glycosylation [GO:0006487]	GO:0006487; GO:0030176; GO:0047874	
XP_001627907.1		A7SKE6	A7SKE6_NEMVE	unreviewed	Predicted protein	v1g190767	Nematostella vectensis (Starlet sea anemone)	308	endoplasmic reticulum [GO:0005783]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005783	
XP_002608426.1		C3Y639	C3Y639_BRAFL	unreviewed	Ig-like domain-containing protein	BRAFLDRAFT_96564	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1077			
XP_001629574.1		A7SFJ8	A7SFJ8_NEMVE	unreviewed	Predicted protein	v1g244918	Nematostella vectensis (Starlet sea anemone)	592	nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; histone H3-K4 methylation [GO:0051568]	GO:0005634; GO:0042393; GO:0048188; GO:0051568	
XP_013383761.1		A0A1S3HE30	A0A1S3HE30_LINUN	unreviewed	zinc finger protein 862-like	LOC106154071	Lingula unguis	550	protein dimerization activity [GO:0046983]	GO:0046983	
XP_001638099.1		A7RR23	A7RR23_NEMVE	unreviewed	Predicted protein	v1g200840	Nematostella vectensis (Starlet sea anemone)	215			
XP_003382650.1		A0A1X7VVC0	A0A1X7VVC0_AMPQE	unreviewed	TCTP domain-containing protein	100640396	Amphimedon queenslandica (Sponge)	172			
XP_014863494.1		A0A3B3Z1I9	A0A3B3Z1I9_9TELE	unreviewed	Uncharacterized protein		Poecilia mexicana	565	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	GO:0016831; GO:0019752; GO:0030170	
XP_002117197.1		B3SAF1	B3SAF1_TRIAD	unreviewed	Predicted protein	TRIADDRAFT_61237	Trichoplax adhaerens (Trichoplax reptans)	444	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; transport vesicle [GO:0030133]; connexin binding [GO:0071253]; positive regulation of Golgi to plasma membrane protein transport [GO:0042998]	GO:0005802; GO:0005886; GO:0016021; GO:0030133; GO:0042998; GO:0071253	
XP_002091427.2		B4P899	B4P899_DROYA	unreviewed	Uncharacterized protein	Dyak\GE13645 Dyak_GE13645	Drosophila yakuba (Fruit fly)	584	host cell nucleus [GO:0042025]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; heme binding [GO:0020037]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; axon guidance [GO:0007411]; axon regeneration [GO:0031103]; imaginal disc-derived wing expansion [GO:0048526]; locomotor rhythm [GO:0045475]; mushroom body development [GO:0016319]; neuron remodeling [GO:0016322]; positive regulation of axon extension involved in axon guidance [GO:0048842]; regulation of circadian rhythm [GO:0042752]	GO:0003682; GO:0003700; GO:0003707; GO:0005634; GO:0007411; GO:0008270; GO:0016319; GO:0016322; GO:0020037; GO:0031103; GO:0042025; GO:0042752; GO:0043565; GO:0045475; GO:0048526; GO:0048842	K08546;
XP_005224434.1		A0A3Q1NCQ9	A0A3Q1NCQ9_BOVIN	unreviewed	BTB/POZ domain-containing protein KCTD5	KCTD5	Bos taurus (Bovine)	239	cytosol [GO:0005829]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; protein homooligomerization [GO:0051260]	GO:0005829; GO:0042802; GO:0044877; GO:0051260	
XP_001630150.1		A7SDX1	A7SDX1_NEMVE	unreviewed	Predicted protein	v1g114632	Nematostella vectensis (Starlet sea anemone)	244	carbonyl reductase (NADPH) activity [GO:0004090]; L-xylulose reductase (NADP+) activity [GO:0050038]; glucose metabolic process [GO:0006006]; xylulose metabolic process [GO:0005997]	GO:0004090; GO:0005997; GO:0006006; GO:0050038	
XP_001633027.1		A7S5U1	A7S5U1_NEMVE	unreviewed	Predicted protein	v1g207254	Nematostella vectensis (Starlet sea anemone)	425	integral component of plasma membrane [GO:0005887]; G protein-coupled peptide receptor activity [GO:0008528]; neuropeptide signaling pathway [GO:0007218]	GO:0005887; GO:0007218; GO:0008528	
XP_018085862.1		A0A1L8F9D0	A0A1L8F9D0_XENLA	unreviewed	Aminotran_1_2 domain-containing protein	sptlc2.L XELAEV_18039489mg	Xenopus laevis (African clawed frog)	553	pyridoxal phosphate binding [GO:0030170]; transferase activity [GO:0016740]; biosynthetic process [GO:0009058]	GO:0009058; GO:0016740; GO:0030170	K00654;
XP_001624436.1		A7SVC5	A7SVC5_NEMVE	unreviewed	Predicted protein	v1g247625	Nematostella vectensis (Starlet sea anemone)	235	peroxiredoxin activity [GO:0051920]	GO:0051920	
XP_002590091.1		C3ZMW2	C3ZMW2_BRAFL	unreviewed	Apple domain-containing protein	BRAFLDRAFT_123458	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1524	integral component of plasma membrane [GO:0005887]; calcium channel activity [GO:0005262]; calcium, potassium:sodium antiporter activity [GO:0008273]; calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]	GO:0005262; GO:0005887; GO:0006874; GO:0008273; GO:0070588	
XP_001639001.1		A7RNJ9	A7RNJ9_NEMVE	unreviewed	Cytoplasmic dynein 2 light intermediate chain 1	v1g239603	Nematostella vectensis (Starlet sea anemone)	366	axoneme [GO:0005930]; ciliary basal body [GO:0036064]; cytoplasmic dynein complex [GO:0005868]; dynein heavy chain binding [GO:0045504]; intraciliary retrograde transport [GO:0035721]; intraciliary transport involved in cilium assembly [GO:0035735]	GO:0005868; GO:0005930; GO:0035721; GO:0035735; GO:0036064; GO:0045504	
XP_011844497.1		A0A2K5XAW3	A0A2K5XAW3_MANLE	unreviewed	Uncharacterized protein	PGBD4	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	585			
XP_005330053.1		A0A287D1T1	A0A287D1T1_ICTTR	unreviewed	Uncharacterized protein	CKAP5	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	2033			
XP_015011959.1		A0A0Q5VKK9	A0A0Q5VKK9_DROER	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)	Dere\GG21203 Dere_GG21203	Drosophila erecta (Fruit fly)	2033	integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021	
XP_013878878.1		A0A2I4CFX1	A0A2I4CFX1_9TELE	unreviewed	uncharacterized protein K02A2.6-like	LOC106528288	Austrofundulus limnaeus	933	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
XP_001633947.1		A7S323	A7S323_NEMVE	unreviewed	Predicted protein	v1g165808	Nematostella vectensis (Starlet sea anemone)	361	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]; D-amino acid metabolic process [GO:0046416]	GO:0003884; GO:0046416; GO:0071949	
XP_002591963.1		C3ZHH9	C3ZHH9_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_79556	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1069			
XP_016788959.1		A0A2I3TUX0	A0A2I3TUX0_PANTR	unreviewed	Oxysterol-binding protein	OSBPL1A	Pan troglodytes (Chimpanzee)	568	lipid transport [GO:0006869]	GO:0006869	
XP_016788959.1		A0A6D2WM08	A0A6D2WM08_PANTR	unreviewed	Oxysterol-binding protein	CK820_G0018627	Pan troglodytes (Chimpanzee)	568			
XP_017271322.1		A0A3Q3B748	A0A3Q3B748_KRYMA	unreviewed	Uncharacterized protein		Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	155	prefoldin complex [GO:0016272]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	GO:0006457; GO:0016272; GO:0051082	K04797;
NP_001132913.1	NP_001132913.1 -> P51572-1	P51572	BAP31_HUMAN	reviewed	B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28)	BCAP31 BAP31 DXS1357E	Homo sapiens (Human)	246	clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi cisterna membrane [GO:0032580]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; integral component of plasma membrane [GO:0005887]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrion [GO:0005739]; perinuclear endoplasmic reticulum [GO:0097038]; MHC class I protein binding [GO:0042288]; protein-containing complex binding [GO:0044877]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; apoptotic process [GO:0006915]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitochondrial calcium ion concentration [GO:0051561]; positive regulation of retrograde protein transport, ER to cytosol [GO:1904154]; protein localization to endoplasmic reticulum exit site [GO:0070973]; spermatogenesis [GO:0007283]; viral process [GO:0016032]	GO:0002474; GO:0005739; GO:0005783; GO:0005789; GO:0005811; GO:0005829; GO:0005887; GO:0006886; GO:0006888; GO:0006915; GO:0007204; GO:0007283; GO:0016020; GO:0016032; GO:0030136; GO:0032471; GO:0032580; GO:0033116; GO:0035584; GO:0042288; GO:0043280; GO:0044877; GO:0051561; GO:0070973; GO:0071556; GO:0097038; GO:1903071; GO:1904154; GO:2001244	K14009;
XP_015216111.1		W5M009	W5M009_LEPOC	unreviewed	Uncharacterized protein		Lepisosteus oculatus (Spotted gar)	726	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; ion transport [GO:0006811]; iron ion homeostasis [GO:0055072]	GO:0005615; GO:0006811; GO:0016021; GO:0046872; GO:0055072	
XP_023985208.1		A0A2Y9T4G1	A0A2Y9T4G1_PHYMC	unreviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 3	KHDRBS3	Physeter macrocephalus (Sperm whale) (Physeter catodon)	346	nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; regulation of mRNA splicing, via spliceosome [GO:0048024]	GO:0003723; GO:0005654; GO:0019904; GO:0032991; GO:0042802; GO:0048024	K14942;
XP_009066951.1		V3ZNF1	V3ZNF1_LOTGI	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	LOTGIDRAFT_176972	Lottia gigantea (Giant owl limpet)	448	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	
XP_017567039.1		A0A3B4D0W9	A0A3B4D0W9_PYGNA	unreviewed	Phospholipid-transporting ATPase (EC 7.6.2.1)		Pygocentrus nattereri (Red-bellied piranha)	1297	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326	
XP_002596785.1		C3Z3N3	C3Z3N3_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_73699	Branchiostoma floridae (Florida lancelet) (Amphioxus)	206			
XP_019861849.1		A0A1X7T1J5	A0A1X7T1J5_AMPQE	unreviewed	Uncharacterized protein	109590368	Amphimedon queenslandica (Sponge)	975	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074; GO:0046872	
XP_002112894.1		B3RYB0	B3RYB0_TRIAD	unreviewed	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase)	TRIADDRAFT_56497	Trichoplax adhaerens (Trichoplax reptans)	535	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422]	GO:0003723; GO:0004815; GO:0005524; GO:0005829; GO:0006422; GO:0017101	K22503;
XP_002116194.1		B3S7N0	B3S7N0_TRIAD	unreviewed	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	TRIADDRAFT_50837	Trichoplax adhaerens (Trichoplax reptans)	708	mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]	GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0070125	K02355;
XP_014773042.1		A0A0L8HFK6	A0A0L8HFK6_OCTBM	unreviewed	BTB domain-containing protein	OCBIM_22016605mg	Octopus bimaculoides (California two-spotted octopus)	962			K21754;
XP_013398687.1		A0A1S3IKF0	A0A1S3IKF0_LINUN	unreviewed	Nucleolar GTP-binding protein 1	LOC106165133	Lingula unguis	630	nucleolus [GO:0005730]; GTP binding [GO:0005525]; ribosome biogenesis [GO:0042254]	GO:0005525; GO:0005730; GO:0042254	K06943;
XP_002612398.1		C3XU33	C3XU33_BRAFL	unreviewed	Protein arginine N-methyltransferase	BRAFLDRAFT_114443	Branchiostoma floridae (Florida lancelet) (Amphioxus)	627	cytosol [GO:0005829]; nucleus [GO:0005634]; histone-arginine N-methyltransferase activity [GO:0008469]; histone arginine methylation [GO:0034969]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0005829; GO:0006355; GO:0008469; GO:0034969	K02516;
XP_013410712.1		A0A1S3JK07	A0A1S3JK07_LINUN	unreviewed	Zinc finger CCCH-type with G patch domain-containing protein	LOC106173920	Lingula unguis	569	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0046872	
XP_001623042.1		A7SZC7	A7SZC7_NEMVE	unreviewed	Predicted protein	v1g248201	Nematostella vectensis (Starlet sea anemone)	343			
XP_005987472.1		H3BHR6	H3BHR6_LATCH	unreviewed	Uncharacterized protein	MRPS2	Latimeria chalumnae (Coelacanth)	279	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015935	K02967;
XP_019860854.1		A0A1X7T9A9	A0A1X7T9A9_AMPQE	unreviewed	Uncharacterized protein	109589172	Amphimedon queenslandica (Sponge)	400			
XP_002609662.1		C3Y1D2	C3Y1D2_BRAFL	unreviewed	Chromosome segregation 1-like protein (Exportin-2) (Importin-alpha re-exporter)	BRAFLDRAFT_123576	Branchiostoma floridae (Florida lancelet) (Amphioxus)	968	cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear export signal receptor activity [GO:0005049]; Ran GTPase binding [GO:0008536]; protein export from nucleus [GO:0006611]; protein import into nucleus [GO:0006606]	GO:0005049; GO:0005635; GO:0005829; GO:0006606; GO:0006611; GO:0008536	K18423;
XP_013414961.1		A0A1S3JY33	A0A1S3JY33_LINUN	unreviewed	uncharacterized protein LOC106176918	LOC106176918	Lingula unguis	493			
XP_009173846.1		A0A074Z5S5	A0A074Z5S5_9TREM	unreviewed	Uncharacterized protein	T265_09500	Opisthorchis viverrini	419	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856	
NP_001087131.1		Q6DCI5	Q6DCI5_XENLA	unreviewed	MGC82809 protein	tbck.L MGC82809 tbck	Xenopus laevis (African clawed frog)	893	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	K17544;
NP_001099975.1		D3ZYT2	D3ZYT2_RAT	unreviewed	Mitochondrial ribosomal protein S5 (Mitochondrial ribosomal protein S5 (Predicted))	Mrps5 Mrps5_predicted rCG_26878	Rattus norvegicus (Rat)	432	mitochondrial small ribosomal subunit [GO:0005763]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005763; GO:0006412	K02988;
XP_013382029.1		A0A1S3HA90	A0A1S3HA90_LINUN	unreviewed	RING finger protein 145	LOC106152838	Lingula unguis	637	integral component of membrane [GO:0016021]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016021	K23789;
XP_013406017.1		A0A1S3J6H6	A0A1S3J6H6_LINUN	unreviewed	spatacsin isoform X3	LOC106170608	Lingula unguis	2560			
XP_001637923.1		A7RRN9	A7RRN9_NEMVE	unreviewed	Predicted protein	v1g240215	Nematostella vectensis (Starlet sea anemone)	402	integral component of membrane [GO:0016021]	GO:0016021	
XP_011921868.1		A0A2K5L8W0	A0A2K5L8W0_CERAT	unreviewed	RNA helicase (EC 3.6.4.13)	DDX10	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	872	ATP binding [GO:0005524]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724; GO:0005524	
XP_001636887.1		A7RUW9	A7RUW9_NEMVE	unreviewed	Predicted protein	v1g240857	Nematostella vectensis (Starlet sea anemone)	579	ubiquitin protein ligase activity [GO:0061630]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]	GO:0000209; GO:0043161; GO:0061630	
