yourlist:M20200824A94466D2655679D1FD8953E075198DA850B369V	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
UPI000C002D66	A0A2B4S200	A0A2B4S200_STYPI	unreviewed	Ribosome production factor 1	rpf1 AWC38_SpisGene12977	Stylophora pistillata (Smooth cauliflower coral)	305			
UPI000C008D4C	A0A2B4SM58	A0A2B4SM58_STYPI	unreviewed	Cyclin-G-associated kinase	Gak AWC38_SpisGene5014	Stylophora pistillata (Smooth cauliflower coral)	1375	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
UPI000F3B3B50	A0A3M6U5I7	A0A3M6U5I7_9CNID	unreviewed	Uncharacterized protein	pdam_00012981	Pocillopora damicornis	667			
UPI000C017DC9	A0A2B4RXQ4	A0A2B4RXQ4_STYPI	unreviewed	Fidgetin-like protein 1	Fignl1 AWC38_SpisGene14391	Stylophora pistillata (Smooth cauliflower coral)	707	ATP binding [GO:0005524]	GO:0005524	
UPI000CE1D25D	A0A3B3HNI8	A0A3B3HNI8_ORYLA	unreviewed	Endonuclease (EC 2.7.7.49) (Reverse transcriptase)	LOC105357518	Oryzias latipes (Japanese rice fish) (Japanese killifish)	1328	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0008270; GO:0015074	
UPI000F3D5B98	A0A3M6THV7	A0A3M6THV7_9CNID	unreviewed	Prohibitin	pdam_00011584	Pocillopora damicornis	275	mitochondrial inner membrane [GO:0005743]	GO:0005743	
UPI000C0116BE	A0A2B4RE99	A0A2B4RE99_STYPI	unreviewed	Double-stranded RNA-binding protein 1	DRB1 AWC38_SpisGene21260	Stylophora pistillata (Smooth cauliflower coral)	894	hydrolase activity [GO:0016787]; RNA binding [GO:0003723]	GO:0003723; GO:0016787	
UPI000C011DF6	A0A2B4S0F4	A0A2B4S0F4_STYPI	unreviewed	Dual specificity protein kinase shkA	shkA AWC38_SpisGene13441	Stylophora pistillata (Smooth cauliflower coral)	998	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
UPI000C01102A	A0A2B4R625	A0A2B4R625_STYPI	unreviewed	Tigger transposable element-derived protein 6	TIGD6 AWC38_SpisGene24432	Stylophora pistillata (Smooth cauliflower coral)	289	DNA binding [GO:0003677]	GO:0003677	
UPI000F3CE5ED	A0A3M6V5L1	A0A3M6V5L1_9CNID	unreviewed	U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase (EC 2.1.1.-)	pdam_00014187	Pocillopora damicornis	517	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	
UPI000C0132DE	A0A2B4S5M9	A0A2B4S5M9_STYPI	unreviewed	Gamma-glutamyltranspeptidase 1	Ggt1 AWC38_SpisGene11552	Stylophora pistillata (Smooth cauliflower coral)	578	integral component of membrane [GO:0016021]; glutathione hydrolase activity [GO:0036374]; glutathione catabolic process [GO:0006751]	GO:0006751; GO:0016021; GO:0036374	
UPI000C01E61A	A0A2B4SFE3	A0A2B4SFE3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene5878	Stylophora pistillata (Smooth cauliflower coral)	852			
UPI000C0127E6	A0A2B4SKQ8	A0A2B4SKQ8_STYPI	unreviewed	Ultraviolet-B receptor UVR8	UVR8 AWC38_SpisGene6133	Stylophora pistillata (Smooth cauliflower coral)	920			
UPI000C00997C	A0A2B4SWJ6	A0A2B4SWJ6_STYPI	unreviewed	Solute carrier family 25 member 43	slc25a43 AWC38_SpisGene872	Stylophora pistillata (Smooth cauliflower coral)	337	integral component of membrane [GO:0016021]; ATP transmembrane transporter activity [GO:0005347]	GO:0005347; GO:0016021	
UPI000C017D8D	A0A2B4RCX4	A0A2B4RCX4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21632	Stylophora pistillata (Smooth cauliflower coral)	294			
UPI000F3D2A28	A0A3M6TPV3	A0A3M6TPV3_9CNID	unreviewed	F-box domain-containing protein	pdam_00021193	Pocillopora damicornis	450			
UPI000C00C132	A0A2B4SUU2	A0A2B4SUU2_STYPI	unreviewed	Vacuolar protein sorting-associated protein 35	VPS35 AWC38_SpisGene2868	Stylophora pistillata (Smooth cauliflower coral)	799	cytosol [GO:0005829]; retromer, cargo-selective complex [GO:0030906]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]	GO:0005829; GO:0015031; GO:0030906; GO:0042147	
UPI000F3C1EE5	A0A3M6UEE2	A0A3M6UEE2_9CNID	unreviewed	TPR_REGION domain-containing protein	pdam_00003706	Pocillopora damicornis	579	intracellular protein transport [GO:0006886]	GO:0006886	
UPI000F3F5875	A0A3M6TNK2	A0A3M6TNK2_9CNID	unreviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)	pdam_00001800	Pocillopora damicornis	285	NAD+ nucleosidase activity [GO:0003953]	GO:0003953	
UPI000C0107B4	A0A2B4RYB4	A0A2B4RYB4_STYPI	unreviewed	Perivitellin-2 67 kDa subunit	2 AWC38_SpisGene13737	Stylophora pistillata (Smooth cauliflower coral)	631	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C014CC5	A0A2B4RVY0	A0A2B4RVY0_STYPI	unreviewed	INO80 complex subunit E	Ino80e AWC38_SpisGene15171	Stylophora pistillata (Smooth cauliflower coral)	286	Ino80 complex [GO:0031011]; chromatin remodeling [GO:0006338]	GO:0006338; GO:0031011	
UPI000C01DDB0	A0A2B4SRE2	A0A2B4SRE2_STYPI	unreviewed	Sin3 histone deacetylase corepressor complex component SDS3	SUDS3 AWC38_SpisGene4086	Stylophora pistillata (Smooth cauliflower coral)	412			
UPI000B457F91	A0A210QL90	A0A210QL90_MIZYE	unreviewed	EIN3-binding F-box protein 1	KP79_PYT17532	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	543			
UPI000C01CF56	A0A2B4S121	A0A2B4S121_STYPI	unreviewed	Armadillo repeat-containing protein 6	Armc6 AWC38_SpisGene12717	Stylophora pistillata (Smooth cauliflower coral)	468			
UPI000F40E6C1	A0A3M6V0Q5	A0A3M6V0Q5_9CNID	unreviewed	Pecanex_C domain-containing protein	pdam_00018365	Pocillopora damicornis	2001	integral component of membrane [GO:0016021]	GO:0016021	
UPI00129ECA2D	A0A669PMZ6	A0A669PMZ6_PHACC	unreviewed	NmrA like redox sensor 1	NMRAL1	Phasianus colchicus (Common pheasant)	296			
UPI000F3F474F	A0A3M6TC94	A0A3M6TC94_9CNID	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	pdam_00008146	Pocillopora damicornis	232	metal ion binding [GO:0046872]; ribulose-phosphate 3-epimerase activity [GO:0004750]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]	GO:0004750; GO:0005975; GO:0006098; GO:0046872	
UPI000C013634	A0A2B4RLM0	A0A2B4RLM0_STYPI	unreviewed	Melanopsin	OPN4 AWC38_SpisGene18526	Stylophora pistillata (Smooth cauliflower coral)	365	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000C00BA2A	A0A2B4RHZ8	A0A2B4RHZ8_STYPI	unreviewed	ApeC domain-containing protein	AWC38_SpisGene17643	Stylophora pistillata (Smooth cauliflower coral)	537	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3D3EF6	A0A3M6TMD3	A0A3M6TMD3_9CNID	unreviewed	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	pdam_00010887	Pocillopora damicornis	1037	ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	GO:0004842; GO:0008270	
UPI001335903A	A0A671DST5	A0A671DST5_RHIFE	unreviewed	Lamin B1	LMNB1	Rhinolophus ferrumequinum (Greater horseshoe bat)	585			
UPI000F3D1365	A0A3M6ULF1	A0A3M6ULF1_9CNID	unreviewed	Uncharacterized protein	pdam_00018358	Pocillopora damicornis	307	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ATP transmembrane transporter activity [GO:0005347]	GO:0005347; GO:0005743; GO:0016021	
UPI000C01A8EE	A0A2B4RXJ3	A0A2B4RXJ3_STYPI	unreviewed	Advillin	AVIL AWC38_SpisGene14003	Stylophora pistillata (Smooth cauliflower coral)	831	actin filament binding [GO:0051015]; cytoskeleton organization [GO:0007010]	GO:0007010; GO:0051015	
UPI000F41D3D1	A0A3M6TCM5	A0A3M6TCM5_9CNID	unreviewed	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	pdam_00022910	Pocillopora damicornis	379	integral component of membrane [GO:0016021]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476; GO:0016021	
UPI000C01B01F	A0A2B4SBM1	A0A2B4SBM1_STYPI	unreviewed	Short transient receptor potential channel 5	Trpc5 AWC38_SpisGene9118	Stylophora pistillata (Smooth cauliflower coral)	759	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	GO:0005262; GO:0016021	
UPI00015B21BC	A7RYR4	A7RYR4_NEMVE	unreviewed	Predicted protein	v1g204117	Nematostella vectensis (Starlet sea anemone)	352	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000F3D41CD	A0A3M6U8T2	A0A3M6U8T2_9CNID	unreviewed	DNA polymerase alpha subunit B	pdam_00002878	Pocillopora damicornis	613	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA replication [GO:0006260]	GO:0003677; GO:0005634; GO:0006260	
UPI000F3E46D7	A0A3M6V122	A0A3M6V122_9CNID	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00010469	Pocillopora damicornis	314	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
UPI000C01DD28	A0A2B4SJH4	A0A2B4SJH4_STYPI	unreviewed	DED domain-containing protein	AWC38_SpisGene6638	Stylophora pistillata (Smooth cauliflower coral)	448	regulation of apoptotic process [GO:0042981]	GO:0042981	
UPI000C01A3AA	A0A2B4S0N2	A0A2B4S0N2_STYPI	unreviewed	THAP-type domain-containing protein	AWC38_SpisGene13430	Stylophora pistillata (Smooth cauliflower coral)	536	DNA binding [GO:0003677]	GO:0003677	
UPI000C0125A9	A0A2B4S995	A0A2B4S995_STYPI	unreviewed	HEAT repeat-containing protein 3	Heatr3 AWC38_SpisGene10184	Stylophora pistillata (Smooth cauliflower coral)	628			
UPI000F3DF7B7	A0A3M6UKC8	A0A3M6UKC8_9CNID	unreviewed	Proteasome subunit alpha type (EC 3.4.25.1)	pdam_00017380	Pocillopora damicornis	256	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773	
UPI000F3E5C03	A0A3M6UEQ4	A0A3M6UEQ4_9CNID	unreviewed	Protein kinase domain-containing protein	pdam_00004767	Pocillopora damicornis	319	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524	
UPI000F41297F	A0A3M6U0R2	A0A3M6U0R2_9CNID	unreviewed	DED domain-containing protein	pdam_00021936	Pocillopora damicornis	266	regulation of apoptotic process [GO:0042981]	GO:0042981	
UPI000C00298F	A0A2B4S5T1	A0A2B4S5T1_STYPI	unreviewed	26S protease regulatory subunit 6A	Psmc3 AWC38_SpisGene11020	Stylophora pistillata (Smooth cauliflower coral)	427	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]; protein catabolic process [GO:0030163]	GO:0005524; GO:0005737; GO:0008233; GO:0030163	
UPI000B45C792	A0A210QU80	A0A210QU80_MIZYE	unreviewed	Uncharacterized protein	KP79_PYT09359	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	139			
UPI000C001A0F	A0A2B4S8Z1	A0A2B4S8Z1_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	Cad96Ca AWC38_SpisGene9487	Stylophora pistillata (Smooth cauliflower coral)	1177	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
UPI000F3AB5B0	A0A3M6TAR9	A0A3M6TAR9_9CNID	unreviewed	PA14 domain-containing protein	pdam_00005482	Pocillopora damicornis	376	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3FC71B	A0A3M6UGK2	A0A3M6UGK2_9CNID	unreviewed	Uncharacterized protein	pdam_00014223	Pocillopora damicornis	992			
UPI000C0019DF	A0A2B4RDZ9	A0A2B4RDZ9_STYPI	unreviewed	Fibronectin	Fn1 AWC38_SpisGene21332	Stylophora pistillata (Smooth cauliflower coral)	391			
UPI000F3DF224	A0A3M6V5N6	A0A3M6V5N6_9CNID	unreviewed	Uncharacterized protein	pdam_00005614	Pocillopora damicornis	386	methyltransferase activity [GO:0008168]	GO:0008168	
UPI000F3B3FD7	A0A3M6V5Q5	A0A3M6V5Q5_9CNID	unreviewed	Uncharacterized protein	pdam_00005617	Pocillopora damicornis	418	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3DB1D0	A0A3M6V571	A0A3M6V571_9CNID	unreviewed	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase (EC 2.4.1.141)	pdam_00010520	Pocillopora damicornis	169	transferase activity, transferring hexosyl groups [GO:0016758]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]	GO:0006488; GO:0016758	
UPI000C01E93F	A0A2B4S6L8	A0A2B4S6L8_STYPI	unreviewed	Nucleolar protein 4	NOL4 AWC38_SpisGene10711	Stylophora pistillata (Smooth cauliflower coral)	752	DNA binding [GO:0003677]	GO:0003677	
UPI000C00EA65	A0A2B4REH9	A0A2B4REH9_STYPI	unreviewed	UDP-glucuronosyltransferase 2B1	Ugt2b1 AWC38_SpisGene21028	Stylophora pistillata (Smooth cauliflower coral)	516	integral component of membrane [GO:0016021]; UDP-glycosyltransferase activity [GO:0008194]	GO:0008194; GO:0016021	
UPI000F407C3C	A0A3M6U322	A0A3M6U322_9CNID	unreviewed	Uncharacterized protein	pdam_00005378	Pocillopora damicornis	607	microprocessor complex [GO:0070877]; heme binding [GO:0020037]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; primary miRNA processing [GO:0031053]	GO:0003723; GO:0020037; GO:0031053; GO:0042802; GO:0070877	
UPI000F3C5341	A0A3M6UNP0	A0A3M6UNP0_9CNID	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	pdam_00023723	Pocillopora damicornis	327	metal ion binding [GO:0046872]; phosphoprotein phosphatase activity [GO:0004721]	GO:0004721; GO:0046872	
UPI000CBD2ECC	A0A2J8WPC0	A0A2J8WPC0_PONAB	unreviewed	RecQ-mediated genome instability protein 1	CR201_G0009085	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	624	nucleotide binding [GO:0000166]	GO:0000166	
UPI000F3F7BB8	A0A3M6U5D8	A0A3M6U5D8_9CNID	unreviewed	Uncharacterized protein	pdam_00001542	Pocillopora damicornis	446			
UPI000F40FF4E	A0A3M6TNR5	A0A3M6TNR5_9CNID	unreviewed	Uncharacterized protein	pdam_00001796	Pocillopora damicornis	1282	cytoskeleton [GO:0005856]; cytoskeletal protein binding [GO:0008092]; guanyl-nucleotide exchange factor activity [GO:0005085]	GO:0005085; GO:0005856; GO:0008092	
UPI000C003F30	A0A2B4S1S1	A0A2B4S1S1_STYPI	unreviewed	CULLIN_2 domain-containing protein	AWC38_SpisGene12099	Stylophora pistillata (Smooth cauliflower coral)	5452			
UPI000FF871B5	A0A418XR24	A0A418XR24_9GAMM	unreviewed	Reverse transcriptase domain-containing protein (Fragment)	D4A39_16760	Alcanivorax profundi	278			
UPI000C0156D1	A0A2B4RZM8	A0A2B4RZM8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13485	Stylophora pistillata (Smooth cauliflower coral)	432	integral component of membrane [GO:0016021]	GO:0016021	
UPI000855E7C3	A0A1B0Y357	A0A1B0Y357_STYPI	unreviewed	Carbonic anhydrase (EC 4.2.1.1)	CA3	Stylophora pistillata (Smooth cauliflower coral)	258	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	GO:0004089; GO:0008270	
UPI000C01CD46	A0A2B4SBR9	A0A2B4SBR9_STYPI	unreviewed	DNA topoisomerase I (EC 5.6.2.1) (DNA topoisomerase 1)	TOP1 AWC38_SpisGene7977	Stylophora pistillata (Smooth cauliflower coral)	891	chromosome [GO:0005694]; DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; DNA topological change [GO:0006265]	GO:0003677; GO:0003917; GO:0005694; GO:0006265	
UPI000F3E401F	A0A3M6T825	A0A3M6T825_9CNID	unreviewed	Uncharacterized protein	pdam_00012806	Pocillopora damicornis	968	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; carboxylic acid metabolic process [GO:0019752]	GO:0016831; GO:0019752; GO:0030170	
UPI000F3DCBC7	A0A3M6USC2	A0A3M6USC2_9CNID	unreviewed	ANK_REP_REGION domain-containing protein	pdam_00002407	Pocillopora damicornis	972			
UPI000C00BB36	A0A2B4SLK3	A0A2B4SLK3_STYPI	unreviewed	Disrupted in renal carcinoma protein 2-like	dirc2 AWC38_SpisGene5828	Stylophora pistillata (Smooth cauliflower coral)	902	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	
UPI000CD66A05	A0A3B3QDR1	A0A3B3QDR1_9TELE	unreviewed	Uncharacterized protein		Paramormyrops kingsleyae	236	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3D4198	A0A3M6T6J3	A0A3M6T6J3_9CNID	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00000911	Pocillopora damicornis	374	integral component of membrane [GO:0016021]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016021	
UPI000F4128A9	A0A3M6V8R8	A0A3M6V8R8_9CNID	unreviewed	Uncharacterized protein	pdam_00003575	Pocillopora damicornis	1146	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524	
UPI000BBD9511	W5KH53	W5KH53_ASTMX	unreviewed	Uncharacterized protein		Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)	1485	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; glutamine metabolic process [GO:0006541]	GO:0004088; GO:0005524; GO:0006207; GO:0006541; GO:0046872	
UPI000C002D1F	A0A2B4SS29	A0A2B4SS29_STYPI	unreviewed	Inhibitor of Bruton tyrosine kinase	ibtk AWC38_SpisGene3973	Stylophora pistillata (Smooth cauliflower coral)	1486	kinase activity [GO:0016301]	GO:0016301	
UPI000C01B80C	A0A2B4SKK4	A0A2B4SKK4_STYPI	unreviewed	Transmembrane protein 39A-B	tmem39a-b AWC38_SpisGene4010	Stylophora pistillata (Smooth cauliflower coral)	481	integral component of membrane [GO:0016021]	GO:0016021	
UPI000C005ECD	A0A2B4RR75	A0A2B4RR75_STYPI	unreviewed	Beta-glucuronidase (EC 3.2.1.31)	GUSB AWC38_SpisGene16863	Stylophora pistillata (Smooth cauliflower coral)	663	lysosome [GO:0005764]; beta-glucuronidase activity [GO:0004566]; carbohydrate metabolic process [GO:0005975]	GO:0004566; GO:0005764; GO:0005975	
UPI000C00F2D9	A0A2B4RJ16	A0A2B4RJ16_STYPI	unreviewed	Neuronal acetylcholine receptor subunit alpha-7	CHRNA7 AWC38_SpisGene19382	Stylophora pistillata (Smooth cauliflower coral)	519	integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211	
UPI000F3C2A85	A0A3M6UI54	A0A3M6UI54_9CNID	unreviewed	Uncharacterized protein	pdam_00016509	Pocillopora damicornis	1132			
UPI000F3CE668	A0A3M6UBT0	A0A3M6UBT0_9CNID	unreviewed	Uncharacterized protein	pdam_00017892	Pocillopora damicornis	392	integral component of membrane [GO:0016021]	GO:0016021	
UPI000F3F947B	A0A3M6T9L5	A0A3M6T9L5_9CNID	unreviewed	HMG box domain-containing protein	pdam_00012296	Pocillopora damicornis	372	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0005634; GO:0008270	
UPI000C019316	A0A2B4S048	A0A2B4S048_STYPI	unreviewed	Apple domain-containing protein	AWC38_SpisGene13320	Stylophora pistillata (Smooth cauliflower coral)	456			
UPI000E45B995	A0A3Q1HHA9	A0A3Q1HHA9_ANATE	unreviewed	TPR_REGION domain-containing protein		Anabas testudineus (Climbing perch) (Anthias testudineus)	849			
UPI000CD635D2	A0A3B3RWW1	A0A3B3RWW1_9TELE	unreviewed	DNA replication complex GINS protein SLD5		Paramormyrops kingsleyae	222	nucleus [GO:0005634]; DNA-dependent DNA replication [GO:0006261]	GO:0005634; GO:0006261	
UPI000C017A0D	A0A2B4RT16	A0A2B4RT16_STYPI	unreviewed	Glutaredoxin-3	glrx3 AWC38_SpisGene13920	Stylophora pistillata (Smooth cauliflower coral)	327	electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]	GO:0009055; GO:0015035	
UPI000C002E13	A0A2B4SLL9	A0A2B4SLL9_STYPI	unreviewed	Putative hydroxypyruvate isomerase (EC 5.3.1.22)	hyi AWC38_SpisGene4416	Stylophora pistillata (Smooth cauliflower coral)	263	hydroxypyruvate isomerase activity [GO:0008903]	GO:0008903	
UPI000F3B0283	A0A3M6T9W1	A0A3M6T9W1_9CNID	unreviewed	Uncharacterized protein	pdam_00023303	Pocillopora damicornis	734	zinc ion binding [GO:0008270]	GO:0008270	
UPI000F3B85D9	A0A3M6ULQ1	A0A3M6ULQ1_9CNID	unreviewed	RING-type domain-containing protein	pdam_00013178	Pocillopora damicornis	499	single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase activity [GO:0061630]; postreplication repair [GO:0006301]; protein monoubiquitination [GO:0006513]	GO:0003697; GO:0006301; GO:0006513; GO:0061630	
UPI000F3F81DE	A0A3M6UD65	A0A3M6UD65_9CNID	unreviewed	G-patch domain-containing protein	pdam_00017731	Pocillopora damicornis	481	nucleic acid binding [GO:0003676]	GO:0003676	
UPI000CEFEA32	A0A674J695	A0A674J695_TERCA	unreviewed	Uncharacterized protein	LOC112110048	Terrapene carolina triunguis (Three-toed box turtle)	537			
UPI00015B272A	A7RUV7	A7RUV7_NEMVE	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	v1g162983	Nematostella vectensis (Starlet sea anemone)	214	calcium ion binding [GO:0005509]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755; GO:0005509	
