yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
RMX40891.1	A0A3M6THU0	A0A3M6THU0_9CNID	unreviewed	Uncharacterized protein	pdam_00012026	Pocillopora damicornis	1049	integral component of membrane [GO:0016021]	GO:0016021	
EDO48480.1	A7RIY5	A7RIY5_NEMVE	unreviewed	Predicted protein (Fragment)	v1g83028	Nematostella vectensis (Starlet sea anemone)	275	dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; synapse [GO:0045202]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]	GO:0004930; GO:0004993; GO:0005887; GO:0007187; GO:0007268; GO:0030425; GO:0030594; GO:0045202	
PFX27293.1	A0A2B4SE18	A0A2B4SE18_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	tie2 AWC38_SpisGene8010	Stylophora pistillata (Smooth cauliflower coral)	1556	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
PFX31133.1	A0A2B4SPX4	A0A2B4SPX4_STYPI	unreviewed	Insulin receptor	insr AWC38_SpisGene4035	Stylophora pistillata (Smooth cauliflower coral)	2588	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
RVW41754.1	A0A438E209	A0A438E209_VITVI	unreviewed	Retrovirus-related Pol polyprotein from transposon TNT 1-94	POLX_2576 CK203_082083	Vitis vinifera (Grape)	891	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
EDO30908.1	A7SZF8	A7SZF8_NEMVE	unreviewed	Predicted protein (Fragment)	v1g2158	Nematostella vectensis (Starlet sea anemone)	243	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508	
VTJ52960.1	A0A5E4A6W9	A0A5E4A6W9_MARMO	unreviewed	WD_REPEATS_REGION domain-containing protein	MONAX_5E021569	Marmota monax (Woodchuck)	227			
RXN12008.1	A0A498LU79	A0A498LU79_LABRO	unreviewed	G2 M phase-specific E3 ubiquitin-ligase-like protein	ROHU_010347	Labeo rohita (Indian major carp) (Cyprinus rohita)	821	integral component of membrane [GO:0016021]; ligase activity [GO:0016874]; nucleic acid binding [GO:0003676]; ubiquitin-protein transferase activity [GO:0004842]; DNA integration [GO:0015074]	GO:0003676; GO:0004842; GO:0015074; GO:0016021; GO:0016874	
PFX15171.1	A0A2B4RC04	A0A2B4RC04_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20623	Stylophora pistillata (Smooth cauliflower coral)	899			
RMX51903.1	A0A3M6UDZ3	A0A3M6UDZ3_9CNID	unreviewed	HECT domain-containing protein	pdam_00012162	Pocillopora damicornis	606	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
RHZ81221.1	A0A397IZ48	A0A397IZ48_9GLOM	unreviewed	Helicase ATP-binding domain-containing protein	Glove_122g70	Diversispora epigaea	1154	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0005524	
KAF0288832.1	A0A6A4VEJ5	A0A6A4VEJ5_AMPAM	unreviewed	Protein MB21D2	Mb21d2_2 FJT64_001360	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	924			
RMX55486.1	A0A3M6UP84	A0A3M6UP84_9CNID	unreviewed	DDE_Tnp_IS1595 domain-containing protein	pdam_00013321	Pocillopora damicornis	155			
GBM20037.1	A0A4Y2DUP9	A0A4Y2DUP9_ARAVE	unreviewed	Uncharacterized protein	AVEN_77950_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	601			
KAE8289522.1	A0A6G0IE59	A0A6G0IE59_LARCR	unreviewed	Uncharacterized protein	D5F01_LYC11224	Larimichthys crocea (Large yellow croaker) (Pseudosciaena crocea)	300			
RXN27563.1	A0A498N5S8	A0A498N5S8_LABRO	unreviewed	CGG triplet repeat-binding 1	ROHU_019931	Labeo rohita (Indian major carp) (Cyprinus rohita)	562	nucleus [GO:0005634]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; protein dimerization activity [GO:0046983]	GO:0001227; GO:0003690; GO:0005634; GO:0046983	
RMX48371.1	A0A3M6U443	A0A3M6U443_9CNID	unreviewed	AAA domain-containing protein	pdam_00016308	Pocillopora damicornis	918	ATP binding [GO:0005524]	GO:0005524	
RMX48364.1	A0A3M6U4B5	A0A3M6U4B5_9CNID	unreviewed	Uncharacterized protein	pdam_00016307	Pocillopora damicornis	2033	regulation of apoptotic process [GO:0042981]	GO:0042981	
ELT87533.1	R7T404	R7T404_CAPTE	unreviewed	Uncharacterized protein	CAPTEDRAFT_192819	Capitella teleta (Polychaete worm)	292			
VDM24531.1	A0A0R3WU29	A0A0R3WU29_HYDTA	unreviewed	Uncharacterized protein	TTAC_LOCUS4254	Hydatigena taeniaeformis (Feline tapeworm) (Taenia taeniaeformis)	126	calcium ion binding [GO:0005509]	GO:0005509	
PFX12512.1	A0A2B4R8G2	A0A2B4R8G2_STYPI	unreviewed	Receptor-type tyrosine-protein phosphatase F (Fragment)	ptprf AWC38_SpisGene23518	Stylophora pistillata (Smooth cauliflower coral)	1145	DNA binding [GO:0003677]	GO:0003677	
EDO45440.1	A7RTB5	A7RTB5_NEMVE	unreviewed	Predicted protein	v1g201836	Nematostella vectensis (Starlet sea anemone)	396			
PFX20867.1	A0A2B4RWZ7	A0A2B4RWZ7_STYPI	unreviewed	Eukaryotic translation initiation factor 2D (Ligatin)	EIF2D AWC38_SpisGene14654	Stylophora pistillata (Smooth cauliflower coral)	531	translation initiation factor activity [GO:0003743]; formation of translation preinitiation complex [GO:0001731]	GO:0001731; GO:0003743	
PFX20854.1	A0A2B4RQY4	A0A2B4RQY4_STYPI	unreviewed	Rho GTPase-activating protein 100F	RhoGAP100F AWC38_SpisGene14665	Stylophora pistillata (Smooth cauliflower coral)	1101	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	GO:0007165; GO:0016021	
PFX13707.1	A0A2B4RBG5	A0A2B4RBG5_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49) (Fragment)	pol AWC38_SpisGene22189	Stylophora pistillata (Smooth cauliflower coral)	1281			
PFX13880.1	A0A2B4RBJ7	A0A2B4RBJ7_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene22005	Stylophora pistillata (Smooth cauliflower coral)	292	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX33804.1	A0A2B4ST09	A0A2B4ST09_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene1230	Stylophora pistillata (Smooth cauliflower coral)	1189	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX18982.1	A0A2B4RRX2	A0A2B4RRX2_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene16614	Stylophora pistillata (Smooth cauliflower coral)	883	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
EDO37274.1	A7SG98	A7SG98_NEMVE	unreviewed	Peroxiredoxin-5 (EC 1.11.1.24)	v1g211830	Nematostella vectensis (Starlet sea anemone)	159	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]	GO:0005737; GO:0005739; GO:0005777; GO:0008379; GO:0034599; GO:0042744; GO:0045454	
EDO40821.1	A7S693	A7S693_NEMVE	unreviewed	Predicted protein	v1g166963	Nematostella vectensis (Starlet sea anemone)	1259	integral component of membrane [GO:0016021]; membrane [GO:0016020]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; transmembrane transport [GO:0055085]; xenobiotic transport [GO:0042908]	GO:0005524; GO:0008559; GO:0016020; GO:0016021; GO:0016887; GO:0042626; GO:0042908; GO:0055085	
PFX30935.1	A0A2B4SRA8	A0A2B4SRA8_STYPI	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	CSK AWC38_SpisGene4282	Stylophora pistillata (Smooth cauliflower coral)	974	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	GO:0003677; GO:0004715; GO:0005524; GO:0016787	
RMX38774.1	A0A3M6TBX5	A0A3M6TBX5_9CNID	unreviewed	Uncharacterized protein	pdam_00024232	Pocillopora damicornis	325			
PFX14133.1	A0A2B4RBE8	A0A2B4RBE8_STYPI	unreviewed	ATP-dependent DNA helicase hus2/rqh1	rqh1 AWC38_SpisGene21735	Stylophora pistillata (Smooth cauliflower coral)	404	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524	
PFX12587.1	A0A2B4R8A0	A0A2B4R8A0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23430	Stylophora pistillata (Smooth cauliflower coral)	301			
PFX23053.1	A0A2B4S1X5	A0A2B4S1X5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12412	Stylophora pistillata (Smooth cauliflower coral)	148			
PFX25955.1	A0A2B4SBX8	A0A2B4SBX8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9410	Stylophora pistillata (Smooth cauliflower coral)	1262	alpha-L-arabinofuranosidase activity [GO:0046556]; L-arabinose metabolic process [GO:0046373]	GO:0046373; GO:0046556	
KFD66418.1	A0A085NAC2	A0A085NAC2_9BILA	unreviewed	Integrase catalytic domain-containing protein	M514_21448	Trichuris suis (pig whipworm)	1680	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PVD31494.1	A0A2T7PDJ7	A0A2T7PDJ7_POMCA	unreviewed	Protein CASP	C0Q70_06906	Pomacea canaliculata (Golden apple snail)	279	integral component of Golgi membrane [GO:0030173]; intra-Golgi vesicle-mediated transport [GO:0006891]	GO:0006891; GO:0030173	
EDO49618.1	A7RFK7	A7RFK7_NEMVE	unreviewed	Predicted protein	v1g196456	Nematostella vectensis (Starlet sea anemone)	436	integral component of membrane [GO:0016021]; cell communication [GO:0007154]	GO:0007154; GO:0016021	
PFX33883.1	A0A2B4SXP4	A0A2B4SXP4_STYPI	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	NLGN4X AWC38_SpisGene1291	Stylophora pistillata (Smooth cauliflower coral)	569	hydrolase activity [GO:0016787]	GO:0016787	
PFX27572.1	A0A2B4SGD5	A0A2B4SGD5_STYPI	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	NLGN4X AWC38_SpisGene7730	Stylophora pistillata (Smooth cauliflower coral)	545	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	GO:0016021; GO:0016787	
PFX19912.1	A0A2B4RUK4	A0A2B4RUK4_STYPI	unreviewed	Pro-Pol polyprotein	pol AWC38_SpisGene15655	Stylophora pistillata (Smooth cauliflower coral)	698			
PFX16391.1	A0A2B4RFL1	A0A2B4RFL1_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene19340	Stylophora pistillata (Smooth cauliflower coral)	291	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX12890.1	A0A2B4R8R3	A0A2B4R8R3_STYPI	unreviewed	Transposon TX1 uncharacterized 149 kDa protein	AWC38_SpisGene23082	Stylophora pistillata (Smooth cauliflower coral)	1669	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX12279.1	A0A2B4R638	A0A2B4R638_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene23791	Stylophora pistillata (Smooth cauliflower coral)	645	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
KRZ82075.1	A0A0V1NDI5	A0A0V1NDI5_9BILA	unreviewed	Transposon Ty3-I Gag-Pol polyprotein (Fragment)	TY3B-I T08_8359	Trichinella sp. T8	518	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190	
PFX31336.1	A0A2B4SPN7	A0A2B4SPN7_STYPI	unreviewed	WD repeat-containing protein on Y chromosome	WDY AWC38_SpisGene3864	Stylophora pistillata (Smooth cauliflower coral)	1031	calcium ion binding [GO:0005509]	GO:0005509	
RMX41353.1	A0A3M6TIV7	A0A3M6TIV7_9CNID	unreviewed	Uncharacterized protein	pdam_00012794	Pocillopora damicornis	182	integral component of membrane [GO:0016021]	GO:0016021	
TWW67881.1	A0A5C6NML2	A0A5C6NML2_9TELE	unreviewed	RING finger protein 219	D4764_02G0009220	Takifugu flavidus (sansaifugu)	639	ubiquitin-protein transferase activity [GO:0004842]; protein monoubiquitination [GO:0006513]; regulation of DNA replication [GO:0006275]	GO:0004842; GO:0006275; GO:0006513	
PFX32351.1	A0A2B4SR38	A0A2B4SR38_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2766	Stylophora pistillata (Smooth cauliflower coral)	176			
PFX22769.1	A0A2B4S141	A0A2B4S141_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12708	Stylophora pistillata (Smooth cauliflower coral)	1112			
PFX12751.1	A0A2B4R536	A0A2B4R536_STYPI	unreviewed	Uncharacterized protein (Fragment)	AWC38_SpisGene23241	Stylophora pistillata (Smooth cauliflower coral)	442			
PFX15952.1	A0A2B4RI73	A0A2B4RI73_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)	Ptprf AWC38_SpisGene19804	Stylophora pistillata (Smooth cauliflower coral)	2223	integral component of membrane [GO:0016021]	GO:0016021	
